SOURCE: Data,METHODS:                  Sampling/Analysis,DATE (mm/dd/yyyy),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-3),Trichodesmium Biomass Conversion factor (mg C/106 nifH copies),Trichodesmium Biomass (mg C m-3),UCYN-A1 nifH Gene (x106 copies m-3),UCYN-A2 nifH Gene (x106 copies m-3),UCYN-A nifH Gene (x106 copies m-3),UCYN-A Biomass Conversion factor (mg C/106 nifH copies),UCYN-B nifH Gene (x106 copies m-3),UCYN-B Biomass Conversion factor (mg C/106 nifH copies),UCYN-C nifH Gene (x106 copies m-3),UCYN-C Biomass Conversion factor (mg C/106 nifH copies),UCYN Biomass (mg C m-3),Richelia Associated Species,Richelia nifH Gene (x106 copies m-3),Richelia Biomass Conversion factor (mg C/106 nifH copies),Calothrix Associated Species,Calothrix nifH Gene  (x106 copies m-3),Calothrix Biomass Conversion factor (mg C/106 nifH copies),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-3),Gamma 1 nifH Gene (x106 copies/m3),Gamma 2 nifH Gene (x106 copies/m3),Gamma 3 nifH Gene (x106 copies/m3),Gamma 4 nifH Gene (x106 copies/m3),Gamma nifH Gene (x106 copies/m3),alpha nifH Gene (x106 copies/m3),Beta nifH Gene (x106 copies/m3),CIII nifH Gene (x106 copies/m3),Total nifH Gene (x106 copies/m3),Total Diazotrophic Biomass (mg C m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),N:P ratio,Fe (nM),Chlorophyll  (mg m-3),Notes
,qPCR,09/28/2015,74.46,-166.62,0.00,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,-0.60,26.64,nan,0.51,0.35,,0.32,
,qPCR,09/28/2015,74.46,-166.64,27.70,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,1.21,29.96,nan,0.64,0.19,,0.40,
,qPCR,09/28/2015,74.46,-166.64,57.00,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,-0.51,31.64,4.35,1.07,4.07,,0.17,
,qPCR,09/28/2015,74.46,-166.64,87.30,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,-1.20,32.09,9.18,1.40,6.56,,0.04,
Shiozaki et al. 2018. JPR.,qPCR,2015 October 14 to Nov 2,31.90,126.80,0.00,0.00,0.593391304347826,,,,nan,,nan,,nan,,,,nan,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,32.90,126.00,0.00,nan,nan,,,,nan,,nan,,nan,,,,nan,,,,,,,,,,,,,,,,,,,,,,,
data shown in Figure 4,qPCR,2015 October 14 to Nov 2,32.72,124.83,0.00,0.02,15.5336086956522,,,,nan,,nan,,nan,,,,nan,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,32.22,125.23,0.00,nan,nan,,,,nan,,nan,,nan,,,,nan,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,31.72,125.63,0.00,nan,nan,,,,nan,,nan,,nan,,,,nan,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,31.22,126.03,0.00,0.00,0.883608695652174,,,,nan,,nan,,nan,,,,nan,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,30.72,126.43,0.00,nan,nan,,,,nan,,nan,,nan,,,,nan,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,32.69,138.57,5.00,0.01,9.001,,,,0.84,,0.19,,nan,,,,3.59,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,31.13,138.69,5.00,0.00,2.45969565217392,,,,0.76,,0.20,,0.22,,,,0.27,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,30.91,133.19,0.00,0.01,12.6096956521739,,,,1.07,,0.17,,0.37,,,,0.42,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,31.07,132.98,5.00,0.01,9.72926086956523,,,,1.36,,0.21,,0.17,,,,0.46,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,31.50,132.21,0.00,0.01,9.32708695652175,,,,2.46,,0.23,,nan,,,,0.37,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,29.93,129.73,0.00,0.00,4.71839130434783,,,,0.37,,0.49,,0.16,,,,nan,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,29.65,129.10,0.00,0.02,20.8488260869565,,,,0.32,,0.59,,0.23,,,,0.41,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,30.47,128.09,0.00,0.00,0.155021739130435,,,,nan,,nan,,nan,,,,1.77,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,30.90,127.59,0.00,0.00,0.970565217391306,,,,nan,,nan,,0.15,,,,1.91,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,32.40,126.40,0.00,0.00,0.396108695652174,,,,nan,,nan,,nan,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,30.22,126.83,0.00,0.00,2.64556521739131,,,,nan,,nan,,nan,,,,0.69,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,29.77,127.29,0.00,0.00,0.984695652173913,,,,0.27,,0.46,,nan,,,,2.53,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,29.38,127.83,0.00,0.00,2.301,,,,0.29,,0.76,,0.18,,,,1.78,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,28.99,128.35,0.00,0.00,4.49013043478261,,,,1.07,,0.24,,0.48,,,,0.22,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,25.17,123.00,0.00,0.00,0.586869565217392,,,,16.50,,0.65,,0.68,,,,1.02,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,26.37,125.70,0.00,0.00,1.92817391304348,,,,1.47,,0.80,,0.92,,,,1.10,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,26.59,125.50,0.00,0.00,0.858608695652174,,,,16.74,,0.82,,0.22,,,,1.04,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,26.82,125.30,0.00,0.01,5.90317391304348,,,,13.69,,0.48,,1.18,,,,2.26,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,28.95,126.08,0.00,0.00,1.11404347826087,,,,nan,,nan,,nan,,,,0.87,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,28.70,126.45,0.00,0.02,21.5879565217391,,,,nan,,0.12,,nan,,,,0.92,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,28.77,126.77,0.00,0.01,9.57708695652176,,,,0.50,,0.15,,0.11,,,,1.87,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,28.59,126.75,0.00,0.00,0.611869565217392,,,,0.69,,nan,,0.12,,,,2.07,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,28.47,126.83,0.00,0.00,1.03904347826087,,,,nan,,nan,,1.28,,,,1.63,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,28.30,127.14,0.00,0.00,1.97382608695652,,,,0.77,,0.26,,0.16,,,,0.41,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,27.97,127.58,0.00,0.00,2.28904347826087,,,,2.03,,0.15,,0.62,,,,0.39,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,29.00,131.25,0.00,0.00,0.421652173913044,,,,9.45,,nan,,0.31,,,,0.98,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,29.37,130.75,0.00,0.01,6.43578260869565,,,,nan,,nan,,0.10,,,,nan,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,30.36,129.38,0.00,nan,nan,,,,nan,,nan,,nan,,,,0.45,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,30.93,128.82,0.00,nan,nan,,,,nan,,nan,,0.08,,,,0.31,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 October 14 to Nov 2,32.26,128.70,5.00,0.00,3.06295652173913,,,,nan,,nan,,nan,,,,0.65,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 Sep 3-6,32.75,129.70,2.50,0.00,3.04257608695652,,,,nan,,nan,,nan,,,,5.02,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 Sep 3-6,32.64,129.25,2.50,0.01,5.65045652173914,,,,0.13,,nan,,nan,,,,2.80,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 Sep 3-6,32.50,128.75,0.00,0.00,1.5751847826087,,,,0.14,,nan,,0.14,,,,2.25,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 Sep 3-6,32.25,128.58,0.00,0.00,0.290076086956522,,,,nan,,nan,,0.00,,,,1.94,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 Sep 3-6,32.02,128.42,0.00,nan,nan,,,,nan,,nan,,nan,,,,0.68,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 Sep 3-6,32.17,128.30,0.00,0.00,0.412277173913044,,,,nan,,nan,,nan,,,,nan,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 Sep 3-6,32.21,128.99,2.50,0.00,0.324641304347826,,,,nan,,nan,,nan,,,,1.46,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 Sep 3-6,32.27,129.17,0.00,0.01,14.6015434782609,,,,nan,,0.39,,nan,,,,1.88,,,,,,,,,,0.00,,,,,,,,,,,,,
,qPCR,2015 Sep 3-6,32.46,129.38,2.50,0.01,7.69665217391305,,,,nan,,0.35,,nan,,,,3.31,,,,,,,,,,0.00,,,,,,,,,,,,,
Stenegren et al. 2018. Biogeosciences.,qPCR,2/22/2015,-18.00,159.90,0.00,nan,,,nan,nan,nan,,nan,,nan,,,,nan,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/22/2015,-18.00,159.90,5.00,4748.50,,,bd,bd,bd,,409.33,,dnq,,,,67.62,,,,,,,,,,,,,,,,,,,,,,,
data shown in Figure 1 and Supplementary Table S3,qPCR,2/22/2015,-18.00,159.90,9.00,1644.40,,,dnq,bd,dnq,,165.47,,bd,,,,44.92,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/22/2015,-18.00,159.90,16.00,2105.23,,,dnq,dnq,dnq,,444.92,,bd,,,,61.82,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/22/2015,-18.00,159.90,35.00,664.31,,,0.80,0.13,0.93,,889.00,,dnq,,,,72.12,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/22/2015,-18.00,159.90,70.00,1.53,,,24.84,2.46,27.30,,2.15,,nan,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/22/2015,-18.00,159.90,105.00,nan,,,bd,bd,bd,,0.53,,nan,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/23/2015,-18.62,162.12,0.00,nan,,,nan,nan,nan,,nan,,nan,,,,nan,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/23/2015,-18.62,162.12,5.00,321.17,,,bd,bd,bd,,225.39,,0.50,,,,3.58,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/23/2015,-18.62,162.12,9.00,762.75,,,bd,bd,bd,,139.83,,dnq,,,,3.71,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/23/2015,-18.62,162.12,15.00,nan,,,bd,bd,bd,,68.54,,0.06,,,,111.28,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/23/2015,-18.62,162.12,36.00,dnq,,,0.09,0.12,0.20,,143.68,,0.23,,,,175.24,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/23/2015,-18.62,162.12,70.00,13.76,,,3.85,1.12,4.97,,1.62,,nan,,,,6.71,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/23/2015,-18.62,162.12,105.00,1.88,,,dnq,bd,dnq,,1.61,,nan,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/24/2015,-19.50,165.00,0.00,nan,,,nan,nan,nan,,nan,,nan,,,,nan,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/24/2015,-19.50,165.00,5.00,9413.54,,,bd,bd,bd,,37.57,,bd,,,,15.53,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/24/2015,-19.50,165.00,9.00,8850.35,,,bd,bd,bd,,27.24,,bd,,,,17.14,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/24/2015,-19.50,165.00,16.00,9.97,,,bd,bd,bd,,1.35,,bd,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/24/2015,-19.50,165.00,35.00,nan,,,dnq,bd,dnq,,14.79,,bd,,,,4.49,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/24/2015,-19.50,165.00,70.00,11.47,,,0.24,bd,0.24,,0.64,,nan,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/24/2015,-19.50,165.00,105.00,11.66,,,bd,bd,bd,,0.55,,nan,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/26/2015,-19.21,164.69,0.00,nan,,,nan,nan,nan,,nan,,nan,,,,nan,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/26/2015,-19.21,164.69,4.00,65.66,,,bd,bd,bd,,dnq,,nan,,,,3.11,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/26/2015,-19.21,164.69,9.00,1130.32,,,bd,bd,bd,,dnq,,nan,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/26/2015,-19.21,164.69,16.00,776.62,,,bd,bd,bd,,dnq,,nan,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/26/2015,-19.21,164.69,35.00,645.19,,,bd,bd,bd,,0.11,,nan,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/26/2015,-19.21,164.69,70.00,55.64,,,bd,bd,bd,,0.24,,nan,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2/26/2015,-19.21,164.69,105.00,5.58,,,bd,bd,bd,,dnq,,nan,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/4/2015,-19.91,168.00,0.00,nan,,,nan,nan,nan,,nan,,nan,,,,nan,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/4/2015,-19.91,168.00,5.00,100.27,,,0.01,bd,0.01,,0.37,,bd,,,,27.75,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/4/2015,-19.91,168.00,10.00,228.21,,,dnq,bd,dnq,,0.51,,0.34,,,,41.81,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/4/2015,-19.91,168.00,15.00,437.39,,,0.14,0.01,0.15,,0.74,,bd,,,,66.44,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/4/2015,-19.91,168.00,35.00,229.53,,,8.82,3.41,12.23,,3.31,,0.26,,,,1.54,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/4/2015,-19.91,168.00,70.00,4.24,,,0.26,dnq,0.26,,0.17,,nan,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/4/2015,-19.91,168.00,105.00,0.94,,,bd,bd,bd,,dnq,,nan,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/5/2015,-22.00,170.00,0.00,518.77,,,dnq,dnq,dnq,,22.82,,nan,,,,8.44,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/5/2015,-22.00,170.00,5.00,420.20,,,dnq,bd,dnq,,7.47,,nan,,,,3.68,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/5/2015,-22.00,170.00,10.00,895.10,,,nan,bd,nan,,18.99,,nan,,,,5.86,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/5/2015,-22.00,170.00,16.00,740.17,,,nan,bd,nan,,8.75,,nan,,,,9.53,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/5/2015,-22.00,170.00,35.00,346.36,,,0.85,0.12,0.97,,6.80,,nan,,,,6.13,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/5/2015,-22.00,170.00,70.00,6.68,,,dnq,bd,dnq,,0.59,,nan,,,,1.05,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/5/2015,-22.00,170.00,105.00,dnq,,,0.04,dnq,0.04,,0.48,,nan,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/6/2015,-21.37,172.13,0.00,268.53,,,bd,bd,bd,,2166.61,,nan,,,,10.72,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/6/2015,-21.37,172.13,5.00,655.53,,,bd,bd,bd,,1167.44,,nan,,,,6.37,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/6/2015,-21.37,172.13,10.00,502.04,,,dnq,bd,dnq,,1966.46,,nan,,,,6.82,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/6/2015,-21.37,172.13,16.00,69.93,,,0.01,dnq,0.01,,2337.85,,nan,,,,2.52,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/6/2015,-21.37,172.13,35.00,36.04,,,1.74,0.79,2.53,,241.05,,nan,,,,3.86,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/6/2015,-21.37,172.13,70.00,5.73,,,37.55,2.63,40.18,,3.57,,nan,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/6/2015,-21.37,172.13,105.00,0.42,,,dnq,dnq,dnq,,3.22,,nan,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/7/2015,-20.73,174.27,0.00,276.24,,,bd,bd,bd,,2783.69,,nan,,,,23.14,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/7/2015,-20.73,174.27,5.00,302.43,,,bd,bd,bd,,1578.78,,bd,,,,23.97,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/7/2015,-20.73,174.27,12.00,370.07,,,bd,bd,bd,,2369.02,,bd,,,,32.06,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/7/2015,-20.73,174.27,21.00,57.98,,,bd,bd,bd,,290.88,,dnq,,,,7.55,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/7/2015,-20.73,174.27,45.00,17.83,,,1.95,0.54,2.49,,72.52,,dnq,,,,5.43,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/7/2015,-20.73,174.27,90.00,1.59,,,0.19,0.01,0.20,,1.43,,nan,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/7/2015,-20.73,174.27,119.00,0.22,,,bd,bd,bd,,1.06,,nan,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/8/2015,-20.70,176.40,0.00,dnq,,,0.15,bd,0.15,,8.27,,nan,,,,16.13,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/8/2015,-20.70,176.40,4.00,3585.83,,,dnq,bd,dnq,,2.91,,bd,,,,8.58,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/8/2015,-20.70,176.40,12.00,1946.09,,,dnq,bd,dnq,,4.27,,bd,,,,11.18,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/8/2015,-20.70,176.40,21.00,282.65,,,0.80,dnq,0.80,,9.11,,bd,,,,1.72,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/8/2015,-20.70,176.40,45.00,193.41,,,138.06,1.52,139.57,,176.76,,dnq,,,,1.10,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/8/2015,-20.70,176.40,90.00,5.88,,,11.32,0.10,11.41,,0.85,,nan,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/8/2015,-20.70,176.40,135.00,1.31,,,bd,bd,bd,,0.31,,nan,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/9/2015,-20.97,178.64,0.00,nan,,,0.12,dnq,0.12,,163.65,,nan,,,,17.83,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/9/2015,-20.97,178.64,5.00,nan,,,0.05,dnq,0.05,,160.22,,0.07,,,,28.54,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/9/2015,-20.97,178.64,12.00,nan,,,0.06,dnq,0.06,,227.33,,bd,,,,35.58,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/9/2015,-20.97,178.64,21.00,nan,,,0.33,0.03,0.36,,127.74,,bd,,,,68.18,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/9/2015,-20.97,178.64,45.00,nan,,,7.62,1.28,8.90,,163.51,,dnq,,,,7.27,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/9/2015,-20.97,178.64,90.00,nan,,,2.25,0.24,2.49,,5.01,,nan,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/9/2015,-20.97,178.64,131.00,nan,,,dnq,0.30,0.30,,2.12,,nan,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/10/2015,-20.45,-178.51,0.00,910.51,,,bd,bd,bd,,1.14,,nan,,,,5.90,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/10/2015,-20.45,-178.51,5.00,903.43,,,bd,bd,bd,,0.76,,nan,,,,15.82,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/10/2015,-20.45,-178.51,12.00,711.04,,,bd,bd,bd,,1.05,,nan,,,,18.81,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/10/2015,-20.45,-178.51,21.00,397.02,,,bd,bd,bd,,0.71,,nan,,,,12.91,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/10/2015,-20.45,-178.51,45.00,127.08,,,1.66,0.12,1.78,,18.42,,nan,,,,1.63,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/10/2015,-20.45,-178.51,90.00,0.98,,,1.50,0.13,1.63,,0.31,,nan,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/10/2015,-20.45,-178.51,133.00,dnq,,,dnq,dnq,dnq,,0.28,,nan,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/11/2015,-19.99,-175.67,0.00,170.75,,,bd,bd,bd,,13.04,,nan,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/11/2015,-19.99,-175.67,5.00,508.74,,,dnq,dnq,dnq,,32.91,,nan,,,,6.85,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/11/2015,-19.99,-175.67,12.00,267.36,,,dnq,dnq,dnq,,10.24,,nan,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/11/2015,-19.99,-175.67,21.00,350.02,,,0.02,bd,0.02,,34.41,,nan,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/11/2015,-19.99,-175.67,44.00,28.96,,,0.48,0.03,0.51,,106.57,,nan,,,,1.86,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/11/2015,-19.99,-175.67,90.00,0.31,,,0.49,0.05,0.55,,0.27,,nan,,,,3.22,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/11/2015,-19.99,-175.67,135.00,0.55,,,bd,bd,bd,,0.19,,nan,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/12/2015,-19.50,-172.80,0.00,129.71,,,bd,bd,bd,,115.09,,nan,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/12/2015,-19.50,-172.80,4.00,72.88,,,dnq,dnq,dnq,,129.90,,nan,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/12/2015,-19.50,-172.80,11.00,175.79,,,dnq,bd,dnq,,108.80,,nan,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/12/2015,-19.50,-172.80,19.00,459.15,,,0.04,bd,0.04,,377.47,,nan,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/12/2015,-19.50,-172.80,45.00,294.70,,,31.28,5.14,36.42,,212.71,,nan,,,,1.09,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/12/2015,-19.50,-172.80,85.00,dnq,,,0.11,dnq,0.11,,0.32,,nan,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/12/2015,-19.50,-172.80,128.00,dnq,,,dnq,dnq,dnq,,0.21,,nan,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/15/2015,-18.24,-170.86,0.00,288.96,,,bd,bd,bd,,0.58,,nan,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/15/2015,-18.24,-170.86,5.00,189.37,,,bd,bd,bd,,0.25,,bd,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/15/2015,-18.24,-170.86,7.00,292.95,,,bd,bd,bd,,1.35,,bd,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/15/2015,-18.24,-170.86,12.00,493.29,,,bd,bd,bd,,1.53,,bd,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/15/2015,-18.24,-170.86,27.00,502.54,,,bd,bd,bd,,1.78,,bd,,,,4.28,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/15/2015,-18.24,-170.86,56.00,10.46,,,0.01,dnq,0.01,,0.13,,nan,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/15/2015,-18.24,-170.86,82.00,0.68,,,bd,bd,bd,,0.11,,nan,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/21/2015,-18.20,-169.07,0.00,nan,,,nan,nan,nan,,nan,,nan,,,,nan,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/21/2015,-18.20,-169.07,5.00,6.41,,,bd,bd,bd,,9.10,,bd,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/21/2015,-18.20,-169.07,15.00,51.42,,,bd,bd,bd,,19.65,,bd,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/21/2015,-18.20,-169.07,25.00,14.18,,,bd,bd,bd,,9.24,,bd,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/21/2015,-18.20,-169.07,45.00,bd,,,bd,bd,bd,,0.33,,bd,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/21/2015,-18.20,-169.07,65.00,bd,,,bd,bd,bd,,0.18,,nan,,,,bd,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/21/2015,-18.20,-169.07,85.00,dnq,,,bd,bd,bd,,0.18,,nan,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,3/23/2015,-18.43,-165.92,0.00,dnq,,,dnq,bd,dnq,,4.20,,nan,,,,4.23,,,,,,,,,,,,,,,,,,,,,,,
