LATITUDE,LONGITUDE,Trichodesmium nifH Gene (x106 copies m-3),UCYN-A nifH Gene (x106 copies m-3),UCYN-B nifH Gene (x106 copies m-3),DEPTH (m)
11,-60,0.6,0.0,0.0,80.0
11,-60,1.1,0.0,0.02,40.0
11,-60,67.0,59.0,5.83,5.0
13,-58,0.17,0.0,0.03,200.0
13,-58,0.14,0.0,0.01,160.0
13,-58,0.31,0.0,0.04,120.0
13,-58,1.57,0.0,0.04,70.0
13,-58,209.0,0.0,0.97,35.0
13,-58,131.0,31.0,0.85,5.0
14,-56,0.19,0.0,0.05,200.0
14,-56,0.38,0.0,0.0,160.0
14,-56,0.3,0.0,0.04,120.0
14,-56,1.79,0.0,0.04,75.0
14,-56,8.6,0.0,0.04,40.0
14,-56,27.3,0.0,0.09,10.0
14,-54,0.11,0.0,0.03,200.0
14,-54,3.64,0.0,0.02,160.0
14,-54,0.45,0.0,0.0,115.0
14,-54,11.1,0.0,0.0,70.0
14,-54,51.9,0.0,0.05,40.0
14,-54,160.0,76.0,3.32,6.0
14,-49,0.12,0.0,0.02,200.0
14,-49,0.35,0.0,0.0,150.0
14,-49,3.29,0.0,0.0,100.0
14,-49,2.23,0.0,0.03,65.0
14,-49,40.9,0.0,0.03,35.0
14,-49,69.2,0.0,0.12,10.0
14,-46,0.15,0.0,0.0,200.0
14,-46,0.11,0.0,0.0,150.0
14,-46,4.87,0.0,0.03,115.0
14,-46,3.86,0.0,0.06,70.0
14,-46,25.7,0.0,0.24,40.0
14,-46,19.6,2.1,0.18,10.0
14,-41,0.0,0.0,0.0,200.0
14,-41,3.71,0.0,0.08,140.0
14,-41,0.48,0.0,0.01,115.0
14,-41,0.33,0.0,0.0,75.0
14,-41,2.91,0.0,0.56,45.0
14,-41,6.84,21.0,0.11,10.0
14,-39,0.0,0.0,0.0,200.0
14,-39,0.62,0.0,0.0,140.0
14,-39,0.8,0.0,0.05,105.0
14,-39,0.81,0.0,0.03,75.0
14,-39,0.69,0.0,0.04,60.0
14,-39,0.4,29.0,0.11,10.0
14,-35,0.18,0.0,0.0,200.0
14,-35,0.08,0.0,0.0,150.0
14,-35,0.13,0.0,0.0,110.0
14,-35,0.11,0.0,0.0,93.0
14,-35,0.16,0.0,0.0,50.0
14,-35,3.26,58.0,0.0,10.0
14,-32,0.19,0.0,0.03,200.0
14,-32,0.22,0.0,0.0,150.0
14,-32,0.15,0.0,0.0,120.0
14,-32,0.0,0.0,0.0,90.0
14,-32,0.17,0.0,0.0,60.0
14,-32,0.24,150.0,0.0,10.0
14,-30,0.17,0.0,0.0,200.0
14,-30,0.04,0.0,0.0,150.0
14,-30,0.18,0.0,0.03,120.0
14,-30,0.17,0.0,0.06,85.0
14,-30,0.06,0.0,0.02,45.0
14,-30,0.39,66.0,0.04,10.0
14,-28,0.09,0.0,0.0,200.0
14,-28,0.15,0.0,0.0,150.0
14,-28,0.22,0.0,0.0,90.0
14,-28,0.0,0.0,0.01,70.0
14,-28,0.18,0.0,0.05,50.0
14,-28,0.43,110.0,0.08,10.0
14,-26,0.23,0.0,0.04,200.0
14,-26,0.21,0.0,0.06,132.0
14,-26,0.17,0.0,0.02,95.0
14,-26,0.08,0.0,0.03,74.0
14,-26,0.16,0.0,0.18,25.0
14,-26,0.0,95.0,0.19,10.0
14,-22,0.0,0.0,0.02,200.0
14,-22,0.0,0.0,0.03,150.0
14,-22,0.0,0.0,0.0,100.0
14,-22,0.09,0.0,0.0,65.0
14,-22,0.0,0.0,0.0,30.0
14,-22,0.04,0.0,0.0,10.0
-3,150,12.16,0.06,0.15,5.0
-3,150,0.69,0.0,0.07,15.0
-3,150,1.37,0.0,0.1,30.0
-3,150,1.08,0.0,0.0,70.0
-3,149,3.0,1.34,0.0,5.0
-3,149,1.12,0.0,0.0,15.0
-3,149,1.11,0.0,0.0,30.0
-3,149,1.01,0.0,0.0,70.0
-4,149,0.57,0.0,0.03,5.0
-4,149,1.89,0.0,0.04,15.0
-4,149,0.19,0.0,0.08,30.0
-4,149,0.24,0.0,0.03,70.0
-4,148,2.99,0.0,0.0,5.0
-4,148,4.47,0.0,0.06,15.0
-4,148,1.26,0.06,0.18,30.0
-4,148,0.16,0.0,0.05,70.0
-4,147,9.09,0.0,0.0,5.0
-4,147,7.06,0.08,0.0,15.0
-4,147,0.57,0.0,0.0,30.0
-4,147,0.24,0.08,0.07,70.0
-4,146,7.04,0.0,0.0,5.0
-4,146,8.9,0.14,0.54,15.0
-4,146,0.16,0.0,0.0,30.0
-4,146,0.51,0.0,0.0,70.0
-9,152,18.67,0.0,0.0,5.0
-9,152,12.25,0.0,0.0,15.0
-9,152,23.49,0.0,0.0,30.0
-9,152,1.46,0.0,0.04,70.0
-8,152,29.36,0.06,0.0,5.0
-8,152,29.87,0.0,0.0,15.0
-8,152,103.04,0.04,0.04,30.0
-8,152,2.26,0.07,0.03,70.0
-8,152,36.92,0.0,0.0,5.0
-8,152,40.68,0.0,0.0,15.0
-8,152,8.65,0.0,0.0,30.0
-8,152,0.33,0.0,0.0,70.0
-7,152,58.02,0.0,0.0,5.0
-7,152,47.38,0.0,0.0,15.0
-7,152,5.71,0.0,0.0,30.0
-7,152,0.17,0.0,0.0,70.0
-6,152,134.35,0.0,0.0,5.0
-6,152,97.59,0.0,0.0,15.0
-6,152,27.09,0.0,0.0,30.0
-6,152,1.95,0.0,0.0,70.0
-6,152,130.73,0.0,0.0,5.0
-6,152,90.3,0.0,0.0,15.0
-6,152,106.53,0.0,0.0,30.0
-6,152,1.4,0.0,0.0,70.0
-12,154,40.94,0.0,22.77,5.0
-12,154,40.1,1.39,45.34,15.0
-12,154,35.05,6.96,75.15,30.0
-12,154,0.0,0.0,0.18,90.0
-11,157,0.66,0.04,0.07,5.0
