SOURCE: Related article,METHODS: Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium Colonies (x103 m-3),Trichodesmium Free trichomes (x106 m-3),Trichodesmium Total Trichomes (x106 m-3),UCYN-A Cells (x106 m-3),UCYN-B Cells (x106 m-3),UCYN-C Cells (x106 m-3),UCYN Cells (x106 m-3),Richelia Associated Species,Richelia intracellularis (x106 m-3),Calothrix Associated Species,Calothrix intracellularis  (x106 m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),Fe (nM),Chlorophyll  (mg m-3),Notes
,Standard Light Microscopy,5/21/1975,13.20,-59.70,22,,,1.60,,,,,,,,,,33.67,,,,0.32,
,Standard Light Microscopy,5/21/1975,13.20,-59.70,44,,,0.39,,,,,,,,,,35.40,,,,0.27,
,Standard Light Microscopy,5/27/1975,13.20,-59.70,5,,,2.17,,,,,,,,,,33.35,,,,0.14,
,Standard Light Microscopy,5/27/1975,13.20,-59.70,15,,,1.77,,,,,,,,,,33.35,,,,0.08,
,Standard Light Microscopy,5/27/1975,13.20,-59.70,25,,,1.81,,,,,,,,,,33.34,,,,0.14,
,Standard Light Microscopy,5/27/1975,13.20,-59.70,34,,,1.21,,,,,,,,,,33.42,,,,0.25,
,Standard Light Microscopy,5/27/1975,13.20,-59.70,47,,,0.22,,,,,,,,,,34.91,,,,0.23,
,Standard Light Microscopy,5/27/1975,13.20,-59.70,71,,,0.02,,,,,,,,,,35.96,,,,0.13,
,Standard Light Microscopy,5/27/1975,13.20,-59.70,94,,,0.00,,,,,,,,,,36.88,,,,0.02,
,Standard Light Microscopy,5/27/1975,13.20,-59.70,141,,,0.01,,,,,,,,,,36.94,,,,0.02,
,Standard Light Microscopy,5/27/1975,13.20,-59.70,165,,,0.00,,,,,,,,,,36.87,,,,0.02,
,Standard Light Microscopy,6/10/1975,13.20,-59.70,5,,,0.38,,,,,,,,,,34.36,,,,0.11,
,Standard Light Microscopy,6/10/1975,13.20,-59.70,15,,,0.54,,,,,,,,,,34.48,,,,0.11,
,Standard Light Microscopy,6/10/1975,13.20,-59.70,24,,,0.56,,,,,,,,,,34.58,,,,0.10,
,Standard Light Microscopy,6/10/1975,13.20,-59.70,34,,,0.18,,,,,,,,,,34.69,,,,0.07,
,Standard Light Microscopy,6/10/1975,13.20,-59.70,45,,,0.17,,,,,,,,,,34.72,,,,0.12,
,Standard Light Microscopy,6/10/1975,13.20,-59.70,67,,,0.01,,,,,,,,,,36.04,,,,0.17,
,Standard Light Microscopy,6/10/1975,13.20,-59.70,90,,,0.00,,,,,,,,,,36.82,,,,0.02,
,Standard Light Microscopy,6/10/1975,13.20,-59.70,135,,,0.00,,,,,,,,,,37.06,,,,0.01,
,Standard Light Microscopy,6/10/1975,13.20,-59.70,157,,,0.00,,,,,,,,,,36.74,,,,0.01,
,Standard Light Microscopy,6/24/1975,13.20,-59.70,5,,,0.82,,,,,,,,,,33.19,,,,0.08,
,Standard Light Microscopy,6/24/1975,13.20,-59.70,15,,,0.62,,,,,,,,,,33.23,,,,0.07,
,Standard Light Microscopy,6/24/1975,13.20,-59.70,25,,,0.33,,,,,,,,,,33.66,,,,0.10,
,Standard Light Microscopy,6/24/1975,13.20,-59.70,34,,,0.03,,,,,,,,,,34.61,,,,0.17,
,Standard Light Microscopy,6/24/1975,13.20,-59.70,49,,,0.00,,,,,,,,,,35.83,,,,0.19,
,Standard Light Microscopy,6/24/1975,13.20,-59.70,73,,,0.01,,,,,,,,,,36.07,,,,0.01,
,Standard Light Microscopy,6/24/1975,13.20,-59.70,97,,,0.00,,,,,,,,,,36.97,,,,0.02,
,Standard Light Microscopy,6/24/1975,13.20,-59.70,146,,,0.00,,,,,,,,,,36.91,,,,0.01,
,Standard Light Microscopy,6/24/1975,13.20,-59.70,170,,,0.00,,,,,,,,,,36.44,,,,0.07,
,Standard Light Microscopy,7/8/1975,13.20,-59.70,14,,,0.08,,,,,,,,,,33.84,,,,0.07,
,Standard Light Microscopy,7/8/1975,13.20,-59.70,24,,,0.01,,,,,,,,,,34.14,,,,0.07,
,Standard Light Microscopy,7/8/1975,13.20,-59.70,33,,,0.00,,,,,,,,,,34.68,,,,0.10,
,Standard Light Microscopy,7/8/1975,13.20,-59.70,48,,,0.00,,,,,,,,,,34.85,,,,0.09,
,Standard Light Microscopy,7/8/1975,13.20,-59.70,71,,,0.00,,,,,,,,,,35.83,,,,0.23,
,Standard Light Microscopy,7/8/1975,13.20,-59.70,95,,,0.00,,,,,,,,,,36.32,,,,0.02,
,Standard Light Microscopy,7/8/1975,13.20,-59.70,143,,,0.00,,,,,,,,,,36.90,,,,0.05,
,Standard Light Microscopy,7/8/1975,13.20,-59.70,166,,,0.00,,,,,,,,,,36.71,,,,0.01,
,Standard Light Microscopy,8/5/1975,13.20,-59.70,5,,,0.70,,,,,,,,,27.80,32.25,,,,0.13,
,Standard Light Microscopy,8/5/1975,13.20,-59.70,15,,,0.49,,,,,,,,,,32.20,,,,0.15,
,Standard Light Microscopy,8/5/1975,13.20,-59.70,25,,,0.51,,,,,,,,,,33.44,,,,0.17,
,Standard Light Microscopy,8/5/1975,13.20,-59.70,34,,,0.33,,,,,,,,,,34.41,,,,0.11,
,Standard Light Microscopy,8/5/1975,13.20,-59.70,48,,,0.06,,,,,,,,,,35.23,,,,0.11,
,Standard Light Microscopy,8/5/1975,13.20,-59.70,72,,,0.04,,,,,,,,,,,,,,0.11,
,Standard Light Microscopy,8/5/1975,13.20,-59.70,96,,,0.02,,,,,,,,,,36.78,,,,0.03,
,Standard Light Microscopy,8/5/1975,13.20,-59.70,144,,,0.00,,,,,,,,,,36.77,,,,0.01,
,Standard Light Microscopy,8/5/1975,13.20,-59.70,168,,,0.01,,,,,,,,,,36.47,,,,0.01,
,Standard Light Microscopy,8/25/1975,13.20,-59.70,5,,,0.21,,,,,,,,,28.10,33.22,,,,0.08,
,Standard Light Microscopy,8/25/1975,13.20,-59.70,15,,,0.28,,,,,,,,,28.20,33.39,,,,0.07,
,Standard Light Microscopy,8/25/1975,13.20,-59.70,25,,,0.43,,,,,,,,,28.30,34.04,,,,0.09,
,Standard Light Microscopy,8/25/1975,13.20,-59.70,35,,,0.00,,,,,,,,,27.90,35.28,,,,0.10,
,Standard Light Microscopy,8/25/1975,13.20,-59.70,49,,,0.00,,,,,,,,,27.00,35.86,,,,0.20,
,Standard Light Microscopy,8/25/1975,13.20,-59.70,74,,,0.00,,,,,,,,,25.30,36.83,,,,0.06,
,Standard Light Microscopy,8/25/1975,13.20,-59.70,98,,,0.00,,,,,,,,,23.80,36.73,,,,0.04,
,Standard Light Microscopy,8/25/1975,13.20,-59.70,148,,,0.00,,,,,,,,,19.20,36.37,,,,0.01,
,Standard Light Microscopy,8/25/1975,13.20,-59.70,172,,,0.00,,,,,,,,,17.10,36.98,,,,0.01,
,Standard Light Microscopy,10/15/1975,13.20,-59.70,5,,,0.29,,,,,,,,,28.20,34.57,,,,0.05,
,Standard Light Microscopy,10/15/1975,13.20,-59.70,15,,,0.18,,,,,,,,,28.20,34.63,,,,0.06,
,Standard Light Microscopy,10/15/1975,13.20,-59.70,25,,,0.14,,,,,,,,,28.20,34.63,,,,0.06,
,Standard Light Microscopy,10/15/1975,13.20,-59.70,35,,,0.00,,,,,,,,,28.20,34.63,,,,0.04,
,Standard Light Microscopy,10/15/1975,13.20,-59.70,50,,,0.00,,,,,,,,,28.10,36.95,,,,0.01,
,Standard Light Microscopy,10/15/1975,13.20,-59.70,75,,,0.00,,,,,,,,,26.50,36.37,,,,0.01,
,Standard Light Microscopy,10/15/1975,13.20,-59.70,100,,,0.00,,,,,,,,,24.70,35.66,,,,0.01,
,Standard Light Microscopy,10/15/1975,13.20,-59.70,150,,,0.00,,,,,,,,,21.40,36.15,,,,0.00,
,Standard Light Microscopy,10/15/1975,13.20,-59.70,175,,,0.00,,,,,,,,,19.20,35.57,,,,0.01,
,Standard Light Microscopy,11/17/1975,13.20,-59.70,5,,,0.13,,,,,,,,,27.60,35.06,,,,0.04,
,Standard Light Microscopy,11/17/1975,13.20,-59.70,25,,,0.19,,,,,,,,,27.60,35.16,,,,0.03,
,Standard Light Microscopy,11/17/1975,13.20,-59.70,35,,,0.17,,,,,,,,,27.10,35.11,,,,0.04,
,Standard Light Microscopy,11/17/1975,13.20,-59.70,50,,,0.02,,,,,,,,,26.30,36.26,,,,0.06,
,Standard Light Microscopy,11/17/1975,13.20,-59.70,75,,,0.00,,,,,,,,,25.30,37.08,,,,0.06,
,Standard Light Microscopy,11/17/1975,13.20,-59.70,100,,,0.00,,,,,,,,,24.50,37.16,,,,0.03,
,Standard Light Microscopy,11/17/1975,13.20,-59.70,150,,,0.00,,,,,,,,,22.20,36.88,,,,0.01,
,Standard Light Microscopy,11/17/1975,13.20,-59.70,175,,,0.00,,,,,,,,,19.40,36.28,,,,0.01,
,Standard Light Microscopy,12/10/1975,13.20,-59.70,5,,,0.24,,,,,,,,,27.40,35.65,,,,0.06,
,Standard Light Microscopy,12/10/1975,13.20,-59.70,15,,,0.23,,,,,,,,,27.40,35.66,,,,0.07,
,Standard Light Microscopy,12/10/1975,13.20,-59.70,50,,,0.05,,,,,,,,,27.40,35.71,,,,0.09,
,Standard Light Microscopy,12/10/1975,13.20,-59.70,75,,,0.02,,,,,,,,,27.40,35.73,,,,0.08,
,Standard Light Microscopy,12/10/1975,13.20,-59.70,100,,,0.01,,,,,,,,,27.20,36.38,,,,0.12,
,Standard Light Microscopy,12/10/1975,13.20,-59.70,150,,,0.01,,,,,,,,,25.30,36.81,,,,0.07,
,Standard Light Microscopy,12/10/1975,13.20,-59.70,175,,,0.00,,,,,,,,,22.00,37.10,,,,0.02,
,Standard Light Microscopy,1/2/1976,13.20,-59.70,5,,,0.55,,,,,,,,,26.40,35.54,,,,0.21,
,Standard Light Microscopy,1/2/1976,13.20,-59.70,13,,,1.33,,,,,,,,,26.40,35.54,,,,0.18,
,Standard Light Microscopy,1/2/1976,13.20,-59.70,22,,,1.13,,,,,,,,,26.40,35.55,,,,0.20,
,Standard Light Microscopy,1/2/1976,13.20,-59.70,31,,,0.74,,,,,,,,,26.40,35.55,,,,0.18,
,Standard Light Microscopy,1/2/1976,13.20,-59.70,45,,,0.40,,,,,,,,,26.40,35.59,,,,0.17,
,Standard Light Microscopy,1/2/1976,13.20,-59.70,67,,,0.32,,,,,,,,,26.40,35.65,,,,0.17,
,Standard Light Microscopy,1/2/1976,13.20,-59.70,89,,,0.44,,,,,,,,,26.80,36.40,,,,0.16,
,Standard Light Microscopy,1/2/1976,13.20,-59.70,134,,,0.42,,,,,,,,,24.00,35.58,,,,0.15,
,Standard Light Microscopy,1/2/1976,13.20,-59.70,156,,,0.49,,,,,,,,,22.70,35.65,,,,0.18,
,Standard Light Microscopy,1/19/1976,13.20,-59.70,0,,,0.12,,,,,,,,,26.10,35.58,,,,0.05,
,Standard Light Microscopy,1/19/1976,13.20,-59.70,5,,,0.16,,,,,,,,,26.10,35.58,,,,0.03,
,Standard Light Microscopy,1/19/1976,13.20,-59.70,23,,,0.21,,,,,,,,,26.10,35.58,,,,0.05,
,Standard Light Microscopy,1/19/1976,13.20,-59.70,45,,,0.16,,,,,,,,,26.10,35.58,,,,0.04,
,Standard Light Microscopy,1/19/1976,13.20,-59.70,0,,,0.13,,,,,,,,,26.10,35.60,,,,0.08,
,Standard Light Microscopy,1/19/1976,13.20,-59.70,0,,,0.28,,,,,,,,,26.10,35.62,,,,0.08,
,Standard Light Microscopy,1/19/1976,13.20,-59.70,0,,,0.14,,,,,,,,,26.10,35.63,,,,0.14,
,Standard Light Microscopy,1/19/1976,13.20,-59.70,0,,,0.08,,,,,,,,,26.10,35.64,,,,0.12,
,Standard Light Microscopy,1/19/1976,13.20,-59.70,5,,,0.15,,,,,,,,,26.10,35.70,,,,0.22,
,Standard Light Microscopy,1/19/1976,13.20,-59.70,25,,,0.38,,,,,,,,,26.10,35.64,,,,0.20,
,Standard Light Microscopy,1/19/1976,13.20,-59.70,50,,,0.10,,,,,,,,,26.10,35.63,,,,0.14,
,Standard Light Microscopy,1/19/1976,13.20,-59.70,0,,,0.21,,,,,,,,,26.10,35.71,,,,0.16,
,Standard Light Microscopy,1/19/1976,13.20,-59.70,0,,,0.28,,,,,,,,,26.10,35.62,,,,0.13,
,Standard Light Microscopy,1/19/1976,13.20,-59.70,0,,,0.12,,,,,,,,,26.10,35.66,,,,0.06,
,Standard Light Microscopy,2/10/1976,13.20,-59.70,5,,,0.03,,,,,,,,,25.80,34.89,,,,0.05,
,Standard Light Microscopy,2/10/1976,13.20,-59.70,24,,,0.04,,,,,,,,,25.80,35.26,,,,0.07,
,Standard Light Microscopy,2/10/1976,13.20,-59.70,34,,,0.06,,,,,,,,,25.80,35.27,,,,0.07,
,Standard Light Microscopy,2/10/1976,13.20,-59.70,49,,,0.00,,,,,,,,,26.10,36.00,,,,0.11,
,Standard Light Microscopy,2/10/1976,13.20,-59.70,73,,,0.00,,,,,,,,,25.50,36.77,,,,0.18,
,Standard Light Microscopy,2/10/1976,13.20,-59.70,97,,,0.00,,,,,,,,,23.40,37.05,,,,0.08,
,Standard Light Microscopy,2/10/1976,13.20,-59.70,146,,,0.07,,,,,,,,,21.70,37.35,,,,0.05,
,Standard Light Microscopy,3/12/1976,13.20,-59.70,5,,,0.86,,,,,,,,,25.30,34.61,,,,0.09,
,Standard Light Microscopy,3/12/1976,13.20,-59.70,14,,,0.17,,,,,,,,,25.40,34.67,,,,0.14,
,Standard Light Microscopy,3/12/1976,13.20,-59.70,23,,,0.00,,,,,,,,,25.40,34.99,,,,0.12,
,Standard Light Microscopy,3/12/1976,13.20,-59.70,33,,,0.11,,,,,,,,,25.70,35.06,,,,0.11,
,Standard Light Microscopy,3/12/1976,13.20,-59.70,42,,,0.00,,,,,,,,,25.50,36.92,,,,0.04,
,Standard Light Microscopy,3/12/1976,13.20,-59.70,63,,,0.00,,,,,,,,,26.20,37.07,,,,0.02,
,Standard Light Microscopy,3/12/1976,13.20,-59.70,84,,,0.00,,,,,,,,,24.10,36.89,,,,0.01,
,Standard Light Microscopy,3/12/1976,13.20,-59.70,125,,,0.00,,,,,,,,,20.80,36.11,,,,0.01,
,Standard Light Microscopy,3/12/1976,13.20,-59.70,146,,,0.00,,,,,,,,,22.30,36.04,,,,0.01,
,Standard Light Microscopy,4/15/1976,13.20,-59.70,5,,,0.64,,,,,,,,,26.50,34.33,,,,0.11,
,Standard Light Microscopy,4/15/1976,13.20,-59.70,14,,,0.07,,,,,,,,,26.50,35.81,,,,0.10,
,Standard Light Microscopy,4/15/1976,13.20,-59.70,23,,,0.02,,,,,,,,,26.50,35.81,,,,0.12,
,Standard Light Microscopy,4/15/1976,13.20,-59.70,33,,,0.01,,,,,,,,,26.50,35.84,,,,0.14,
,Standard Light Microscopy,4/15/1976,13.20,-59.70,42,,,0.00,,,,,,,,,26.50,35.90,,,,0.19,
,Standard Light Microscopy,4/15/1976,13.20,-59.70,63,,,0.00,,,,,,,,,26.40,36.01,,,,0.18,
,Standard Light Microscopy,4/15/1976,13.20,-59.70,84,,,0.00,,,,,,,,,26.30,36.39,,,,0.03,
,Standard Light Microscopy,4/15/1976,13.20,-59.70,125,,,0.00,,,,,,,,,22.00,36.56,,,,0.01,
,Standard Light Microscopy,4/15/1976,13.20,-59.70,146,,,0.00,,,,,,,,,20.90,36.53,,,,0.01,
,Standard Light Microscopy,5/14/1976,13.20,-59.70,5,,,0.80,,,,,,,,,27.10,33.59,,,,0.18,
,Standard Light Microscopy,5/14/1976,13.20,-59.70,25,,,0.75,,,,,,,,,27.00,34.08,,,,0.23,
,Standard Light Microscopy,5/14/1976,13.20,-59.70,33,,,0.05,,,,,,,,,27.00,35.74,,,,0.31,
,Standard Light Microscopy,5/14/1976,13.20,-59.70,48,,,0.00,,,,,,,,,27.00,35.87,,,,0.33,
,Standard Light Microscopy,5/14/1976,13.20,-59.70,71,,,0.00,,,,,,,,,27.00,36.01,,,,0.16,
,Standard Light Microscopy,5/14/1976,13.20,-59.70,93,,,0.00,,,,,,,,,26.40,36.01,,,,0.18,
,Standard Light Microscopy,5/14/1976,13.20,-59.70,143,,,0.00,,,,,,,,,23.20,36.62,,,,,
,Standard Light Microscopy,7/21/1975,13.20,-59.60,0,,,0.36,,,,,,,,,27.10,33.39,,,,,
,Standard Light Microscopy,7/21/1975,13.20,-59.60,0,,,0.60,,,,,,,,,27.20,33.12,,,,,
,Standard Light Microscopy,7/21/1975,13.20,-59.60,0,,,0.17,,,,,,,,,27.10,32.93,,,,,
,Standard Light Microscopy,7/21/1975,13.20,-59.60,0,,,0.34,,,,,,,,,27.40,32.79,,,,,
,Standard Light Microscopy,7/21/1975,13.20,-59.60,0,,,0.10,,,,,,,,,27.30,32.69,,,,,
,Standard Light Microscopy,7/21/1975,13.20,-59.60,0,,,0.60,,,,,,,,,27.50,33.14,,,,,
,Standard Light Microscopy,7/22/1975,13.20,-59.60,0,,,0.49,,,,,,,,,27.30,32.88,,,,,
,Standard Light Microscopy,7/22/1975,13.20,-59.60,0,,,0.11,,,,,,,,,27.20,32.72,,,,,
,Standard Light Microscopy,7/22/1975,13.20,-59.60,0,,,0.43,,,,,,,,,27.30,32.74,,,,,
,Standard Light Microscopy,7/22/1975,13.20,-59.60,0,,,0.27,,,,,,,,,27.50,32.65,,,,,
,Standard Light Microscopy,7/23/1975,13.20,-59.60,0,,,0.44,,,,,,,,,27.10,32.68,,,,,
,Standard Light Microscopy,7/23/1975,13.20,-59.60,0,,,0.46,,,,,,,,,27.30,33.11,,,,,
,Standard Light Microscopy,7/23/1975,13.20,-59.60,0,,,0.45,,,,,,,,,27.50,32.74,,,,,
,Standard Light Microscopy,7/9/1974,13.20,-59.68,0,,,0.36,,,,,,,,,27.50,32.61,,,,0.07,
,Standard Light Microscopy,7/9/1974,13.20,-59.68,5,,,0.37,,,,,,,,,27.50,32.63,,,,0.05,
,Standard Light Microscopy,7/9/1974,13.20,-59.68,10,,,0.88,,,,,,,,,27.50,32.68,,,,0.04,
,Standard Light Microscopy,7/9/1974,13.20,-59.68,25,,,0.94,,,,,,,,,27.10,33.75,,,,0.16,
,Standard Light Microscopy,7/16/1974,13.20,-59.68,0,,,0.63,,,,,,,,,27.70,32.66,,,,0.06,
,Standard Light Microscopy,7/16/1974,13.20,-59.68,5,,,1.44,,,,,,,,,,32.76,,,,0.07,
,Standard Light Microscopy,7/16/1974,13.20,-59.68,10,,,1.33,,,,,,,,,,32.80,,,,0.15,
,Standard Light Microscopy,7/16/1974,13.20,-59.68,15,,,0.68,,,,,,,,,,33.01,,,,0.15,
,Standard Light Microscopy,7/16/1974,13.20,-59.68,25,,,0.02,,,,,,,,,,34.24,,,,,
,Standard Light Microscopy,7/23/1974,13.20,-59.68,0,,,0.08,,,,,,,,,28.00,32.57,,,,0.08,
,Standard Light Microscopy,7/23/1974,13.20,-59.68,5,,,0.06,,,,,,,,,27.90,32.59,,,,0.07,
,Standard Light Microscopy,7/23/1974,13.20,-59.68,10,,,0.33,,,,,,,,,27.70,32.67,,,,0.12,
,Standard Light Microscopy,7/23/1974,13.20,-59.68,15,,,0.23,,,,,,,,,27.60,33.16,,,,0.11,
,Standard Light Microscopy,7/23/1974,13.20,-59.68,25,,,0.05,,,,,,,,,27.30,33.57,,,,0.15,
,Standard Light Microscopy,7/28/1974,13.20,-59.68,0,,,1.17,,,,,,,,,28.00,32.92,,,,0.11,
,Standard Light Microscopy,7/28/1974,13.20,-59.68,5,,,0.78,,,,,,,,,,32.95,,,,0.14,
,Standard Light Microscopy,7/28/1974,13.20,-59.68,10,,,0.71,,,,,,,,,,33.01,,,,0.18,
,Standard Light Microscopy,7/28/1974,13.20,-59.68,15,,,0.43,,,,,,,,,,33.25,,,,0.17,
,Standard Light Microscopy,7/28/1974,13.20,-59.68,25,,,0.01,,,,,,,,,,34.14,,,,0.14,
,Standard Light Microscopy,8/7/1974,13.20,-59.68,0,,,0.31,,,,,,,,,27.90,33.24,,,,0.08,
,Standard Light Microscopy,8/7/1974,13.20,-59.68,5,,,0.41,,,,,,,,,27.90,33.40,,,,0.11,
,Standard Light Microscopy,8/7/1974,13.20,-59.68,10,,,0.69,,,,,,,,,27.80,33.52,,,,,
,Standard Light Microscopy,8/7/1974,13.20,-59.68,15,,,0.44,,,,,,,,,27.70,33.59,,,,0.10,
,Standard Light Microscopy,8/7/1974,13.20,-59.68,25,,,0.41,,,,,,,,,27.60,33.59,,,,0.40,
,Standard Light Microscopy,8/11/1974,13.20,-59.68,0,,,0.07,,,,,,,,,28.00,32.27,,,,0.08,
,Standard Light Microscopy,8/11/1974,13.20,-59.68,5,,,0.14,,,,,,,,,,32.28,,,,0.08,
,Standard Light Microscopy,8/11/1974,13.20,-59.68,10,,,0.21,,,,,,,,,,32.21,,,,0.09,
,Standard Light Microscopy,8/11/1974,13.20,-59.68,15,,,0.17,,,,,,,,,,32.37,,,,0.14,
,Standard Light Microscopy,8/11/1974,13.20,-59.68,25,,,0.20,,,,,,,,,,34.61,,,,0.19,
,Standard Light Microscopy,8/11/1974,13.20,-59.68,50,,,0.07,,,,,,,,,,,,,,0.10,
,Standard Light Microscopy,8/21/1974,13.20,-59.68,0,,,0.39,,,,,,,,,27.60,33.72,,,,0.18,
,Standard Light Microscopy,8/21/1974,13.20,-59.68,5,,,0.48,,,,,,,,,27.60,33.72,,,,0.19,
,Standard Light Microscopy,8/21/1974,13.20,-59.68,10,,,0.36,,,,,,,,,27.70,33.75,,,,0.16,
,Standard Light Microscopy,8/21/1974,13.20,-59.68,15,,,0.44,,,,,,,,,27.80,33.79,,,,0.14,
,Standard Light Microscopy,8/21/1974,13.20,-59.68,25,,,0.24,,,,,,,,,27.30,34.19,,,,0.21,
,Standard Light Microscopy,8/21/1974,13.20,-59.68,50,,,0.04,,,,,,,,,26.20,36.06,,,,0.14,
,Standard Light Microscopy,8/27/1974,13.20,-59.68,0,,,0.13,,,,,,,,,28.00,33.77,,,,0.08,
,Standard Light Microscopy,8/27/1974,13.20,-59.68,5,,,0.02,,,,,,,,,,33.78,,,,0.07,
,Standard Light Microscopy,8/27/1974,13.20,-59.68,10,,,0.09,,,,,,,,,,34.00,,,,0.06,
,Standard Light Microscopy,8/27/1974,13.20,-59.68,15,,,0.12,,,,,,,,,,34.23,,,,0.08,
,Standard Light Microscopy,8/27/1974,13.20,-59.68,25,,,0.54,,,,,,,,,,34.34,,,,0.09,
,Standard Light Microscopy,8/27/1974,13.20,-59.68,50,,,0.00,,,,,,,,,,,,,,0.18,
,Standard Light Microscopy,9/3/1974,13.20,-59.68,0,,,0.17,,,,,,,,,28.50,33.18,,,,0.06,
,Standard Light Microscopy,9/3/1974,13.20,-59.68,5,,,0.12,,,,,,,,,28.50,33.21,,,,0.07,
,Standard Light Microscopy,9/3/1974,13.20,-59.68,10,,,0.09,,,,,,,,,28.40,33.22,,,,0.06,
,Standard Light Microscopy,9/3/1974,13.20,-59.68,15,,,0.07,,,,,,,,,28.30,33.26,,,,0.07,
,Standard Light Microscopy,9/3/1974,13.20,-59.68,25,,,0.41,,,,,,,,,28.00,33.33,,,,0.10,
,Standard Light Microscopy,9/10/1974,13.20,-59.68,0,,,0.18,,,,,,,,,28.70,33.36,,,,0.08,
,Standard Light Microscopy,9/10/1974,13.20,-59.68,5,,,0.18,,,,,,,,,,33.38,,,,0.08,
,Standard Light Microscopy,9/10/1974,13.20,-59.68,10,,,0.19,,,,,,,,,,33.39,,,,0.08,
,Standard Light Microscopy,9/10/1974,13.20,-59.68,15,,,0.24,,,,,,,,,,33.43,,,,0.07,
,Standard Light Microscopy,9/10/1974,13.20,-59.68,25,,,0.24,,,,,,,,,,35.03,,,,0.15,
,Standard Light Microscopy,9/17/1974,13.20,-59.68,0,,,0.09,,,,,,,,,28.50,33.50,,,,0.08,
,Standard Light Microscopy,9/17/1974,13.20,-59.68,5,,,0.11,,,,,,,,,28.50,33.50,,,,0.09,
,Standard Light Microscopy,9/17/1974,13.20,-59.68,15,,,0.16,,,,,,,,,28.50,33.54,,,,0.09,
,Standard Light Microscopy,9/17/1974,13.20,-59.68,25,,,0.23,,,,,,,,,28.00,34.09,,,,0.22,
,Standard Light Microscopy,9/24/1974,13.20,-59.68,0,,,0.05,,,,,,,,,28.80,33.22,,,,0.07,
,Standard Light Microscopy,9/24/1974,13.20,-59.68,5,,,0.46,,,,,,,,,,33.27,,,,0.08,
,Standard Light Microscopy,9/24/1974,13.20,-59.68,10,,,0.34,,,,,,,,,,33.28,,,,0.08,
,Standard Light Microscopy,9/24/1974,13.20,-59.68,15,,,0.44,,,,,,,,,,33.62,,,,0.10,
,Standard Light Microscopy,9/24/1974,13.20,-59.68,25,,,0.07,,,,,,,,,,35.01,,,,0.22,
,Standard Light Microscopy,9/24/1974,13.20,-59.68,50,,,0.08,,,,,,,,,,36.09,,,,0.24,
,Standard Light Microscopy,10/3/1974,13.20,-59.68,0,,,0.15,,,,,,,,,28.00,33.45,,,,0.10,
,Standard Light Microscopy,10/3/1974,13.20,-59.68,5,,,0.23,,,,,,,,,28.00,33.64,,,,0.08,
,Standard Light Microscopy,10/3/1974,13.20,-59.68,10,,,0.03,,,,,,,,,28.00,33.52,,,,0.08,
,Standard Light Microscopy,10/3/1974,13.20,-59.68,15,,,0.17,,,,,,,,,28.00,33.60,,,,0.09,
,Standard Light Microscopy,10/3/1974,13.20,-59.68,25,,,0.14,,,,,,,,,28.10,33.62,,,,0.10,
,Standard Light Microscopy,10/3/1974,13.20,-59.68,50,,,0.01,,,,,,,,,26.00,36.24,,,,0.15,
,Standard Light Microscopy,10/8/1974,13.20,-59.68,0,,,0.61,,,,,,,,,28.30,34.54,,,,0.10,
,Standard Light Microscopy,10/8/1974,13.20,-59.68,5,,,0.53,,,,,,,,,,34.54,,,,0.10,
,Standard Light Microscopy,10/8/1974,13.20,-59.68,10,,,0.72,,,,,,,,,,34.54,,,,0.12,
,Standard Light Microscopy,10/8/1974,13.20,-59.68,15,,,0.50,,,,,,,,,,34.57,,,,0.10,
,Standard Light Microscopy,10/8/1974,13.20,-59.68,25,,,0.90,,,,,,,,,,34.54,,,,0.13,
,Standard Light Microscopy,10/8/1974,13.20,-59.68,50,,,0.06,,,,,,,,,,36.29,,,,0.17,
,Standard Light Microscopy,10/15/1974,13.20,-59.68,0,,,0.24,,,,,,,,,28.30,34.34,,,,0.15,
,Standard Light Microscopy,10/15/1974,13.20,-59.68,5,,,0.60,,,,,,,,,28.30,34.35,,,,0.18,
,Standard Light Microscopy,10/15/1974,13.20,-59.68,10,,,0.39,,,,,,,,,28.30,34.35,,,,0.17,
,Standard Light Microscopy,10/15/1974,13.20,-59.68,15,,,0.46,,,,,,,,,28.40,34.43,,,,0.14,
,Standard Light Microscopy,10/15/1974,13.20,-59.68,25,,,0.29,,,,,,,,,28.20,34.82,,,,0.13,
,Standard Light Microscopy,10/15/1974,13.20,-59.68,50,,,0.08,,,,,,,,,27.10,36.04,,,,0.08,
,Standard Light Microscopy,10/22/1974,13.20,-59.68,5,,,0.44,,,,,,,,,28.10,34.58,,,,0.10,
,Standard Light Microscopy,10/22/1974,13.20,-59.68,25,,,0.42,,,,,,,,,,34.72,,,,0.15,
,Standard Light Microscopy,10/22/1974,13.20,-59.68,35,,,0.22,,,,,,,,,,34.87,,,,0.11,
,Standard Light Microscopy,10/22/1974,13.20,-59.68,50,,,0.06,,,,,,,,,,36.18,,,,0.07,
,Standard Light Microscopy,10/29/1974,13.20,-59.68,5,,,0.24,,,,,,,,,28.20,34.58,,,,0.08,
,Standard Light Microscopy,10/29/1974,13.20,-59.68,25,,,0.13,,,,,,,,,28.20,34.60,,,,0.07,
